epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,210.543,0.91365,0.8125,1,0.55659,0.06755,0.000327778,0.000327778
2,411.725,0.57814,0.825,1,0.45509,0.0345494,0.000660465,0.000660465
3,610.42,0.44587,0.80417,1,0.54348,0.00154612,0.000990563,0.000990563
4,807.674,0.40794,0.85,1,0.50353,0.000991232,0.000991232,0.000991232
5,1005.17,0.35678,0.83333,1,0.47469,0.000984449,0.000984449,0.000984449
6,1202.31,0.33161,0.83333,1,0.49053,0.000975773,0.000975773,0.000975773
7,1406.2,0.31789,0.85833,1,0.42091,0.000965239,0.000965239,0.000965239
8,1606.65,0.29985,0.85,1,0.47116,0.000952889,0.000952889,0.000952889
9,1794.7,0.26779,0.87083,1,0.41961,0.000938772,0.000938772,0.000938772
10,1980.86,0.27984,0.87083,1,0.41573,0.000922942,0.000922942,0.000922942
11,2167.58,0.20778,0.86667,1,0.45668,0.000905463,0.000905463,0.000905463
12,2374.74,0.23327,0.825,1,0.50143,0.000886404,0.000886404,0.000886404
13,2581.47,0.203,0.8375,1,0.51689,0.000865839,0.000865839,0.000865839
14,2782.38,0.20047,0.85833,1,0.51099,0.000843851,0.000843851,0.000843851
15,2978.42,0.17394,0.85417,1,0.48018,0.000820525,0.000820525,0.000820525
16,3176.35,0.17083,0.84167,1,0.46673,0.000795954,0.000795954,0.000795954
17,3373.62,0.17291,0.85,1,0.4851,0.000770234,0.000770234,0.000770234
18,3570.8,0.1567,0.86667,1,0.51813,0.000743468,0.000743468,0.000743468
19,3773.15,0.15416,0.87917,1,0.54473,0.000715761,0.000715761,0.000715761
20,3973.92,0.13911,0.85417,1,0.47302,0.000687222,0.000687222,0.000687222
21,4171.34,0.12206,0.8625,1,0.58025,0.000657963,0.000657963,0.000657963
22,4368.6,0.11668,0.84583,1,0.57584,0.000628101,0.000628101,0.000628101
23,4564.3,0.11249,0.85,1,0.67237,0.000597754,0.000597754,0.000597754
24,4761.79,0.10936,0.8625,1,0.6037,0.00056704,0.00056704,0.00056704
25,4965.26,0.09225,0.8625,1,0.58069,0.000536081,0.000536081,0.000536081
26,5167.49,0.08221,0.85417,1,0.61435,0.000505,0.000505,0.000505
27,5369.18,0.08242,0.8625,1,0.64829,0.000473919,0.000473919,0.000473919
28,5569.43,0.08426,0.87917,1,0.55274,0.00044296,0.00044296,0.00044296
29,5768.29,0.08671,0.86667,1,0.56155,0.000412246,0.000412246,0.000412246
