epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2497.15,0.67898,0.77537,1,0.47571,0.0801686,9.96552e-05,9.96552e-05
2,4625.47,0.50133,0.81873,1,0.48297,0.0602686,0.000199606,0.000199606
3,6780.45,0.42999,0.88725,1,0.27916,0.0403683,0.000299361,0.000299361
4,8936.08,0.4021,0.90546,1,0.28531,0.0204677,0.000398773,0.000398773
5,10983.4,0.33271,0.89159,1,0.26984,0.000566661,0.000497695,0.000497695
6,13057,0.30397,0.88031,1,0.35578,0.000496937,0.000496937,0.000496937
7,15105.4,0.29095,0.91414,1,0.2251,0.000495594,0.000495594,0.000495594
8,17140.9,0.27488,0.91414,1,0.24657,0.000494009,0.000494009,0.000494009
9,19183.5,0.24756,0.91414,1,0.23343,0.000492185,0.000492185,0.000492185
10,21234.8,0.23998,0.9098,1,0.25327,0.000490123,0.000490123,0.000490123
11,22613.7,0.23414,0.91934,1,0.24846,0.000487825,0.000487825,0.000487825
12,23970.3,0.21276,0.91934,1,0.24528,0.000485294,0.000485294,0.000485294
13,25328.4,0.21682,0.89939,1,0.29384,0.000482532,0.000482532,0.000482532
14,26683.5,0.19786,0.90807,1,0.22849,0.000479541,0.000479541,0.000479541
15,28048.4,0.19361,0.91067,1,0.2437,0.000476326,0.000476326,0.000476326
16,29410.5,0.17855,0.93148,1,0.21585,0.000472888,0.000472888,0.000472888
17,30773.7,0.18416,0.93322,1,0.22694,0.000469231,0.000469231,0.000469231
18,32156.3,0.176,0.92801,1,0.20469,0.00046536,0.00046536,0.00046536
19,33523.5,0.17193,0.93495,1,0.4422,0.000461277,0.000461277,0.000461277
20,34892.6,0.16518,0.92715,1,0.22638,0.000456986,0.000456986,0.000456986
21,36249.7,0.16192,0.92628,1,0.22872,0.000452493,0.000452493,0.000452493
22,37607.2,0.15626,0.93322,1,0.31981,0.000447801,0.000447801,0.000447801
23,38968.9,0.15394,0.93842,1,0.21132,0.000442915,0.000442915,0.000442915
24,40329.7,0.14494,0.93062,1,0.2132,0.00043784,0.00043784,0.00043784
25,41689.6,0.14647,0.93669,1,0.24277,0.000432581,0.000432581,0.000432581
26,43050.2,0.13259,0.93235,1,0.25835,0.000427143,0.000427143,0.000427143
27,44409.9,0.13077,0.94102,1,0.21645,0.000421531,0.000421531,0.000421531
28,45772.8,0.13837,0.92541,1,0.21122,0.000415751,0.000415751,0.000415751
29,47133.9,0.13037,0.92541,1,0.20609,0.000409809,0.000409809,0.000409809
30,48490.8,0.12799,0.92801,1,0.21902,0.000403711,0.000403711,0.000403711
31,49847.7,0.13346,0.93062,1,0.22032,0.000397462,0.000397462,0.000397462
32,51205.2,0.11863,0.93062,1,0.23215,0.000391068,0.000391068,0.000391068
33,52563.5,0.11469,0.94102,1,0.99483,0.000384537,0.000384537,0.000384537
34,53924.7,0.12014,0.93495,1,0.23877,0.000377874,0.000377874,0.000377874
35,55286.2,0.1132,0.92801,1,0.28487,0.000371086,0.000371086,0.000371086
36,56646.4,0.10861,0.93495,1,0.25198,0.00036418,0.00036418,0.00036418
37,58013.5,0.10533,0.92541,1,0.26024,0.000357163,0.000357163,0.000357163
38,59368.4,0.11601,0.93495,1,0.24383,0.000350041,0.000350041,0.000350041
39,60737.4,0.10587,0.94276,1,0.23319,0.000342821,0.000342821,0.000342821
40,62104.1,0.09376,0.93582,1,0.24942,0.000335511,0.000335511,0.000335511
41,63469.6,0.10696,0.94016,1,0.25236,0.000328118,0.000328118,0.000328118
42,64838.1,0.08999,0.93495,1,0.26508,0.000320649,0.000320649,0.000320649
43,66196.6,0.09734,0.93582,1,0.26229,0.000313112,0.000313112,0.000313112
44,67565.7,0.09129,0.94189,1,0.25269,0.000305513,0.000305513,0.000305513
45,68924.7,0.07943,0.93929,1,0.25792,0.000297861,0.000297861,0.000297861
46,70300,0.08484,0.94016,1,0.28154,0.000290163,0.000290163,0.000290163
47,71661.6,0.08341,0.93929,1,0.25655,0.000282427,0.000282427,0.000282427
48,73023,0.08364,0.93842,1,0.2534,0.000274659,0.000274659,0.000274659
49,74385.9,0.08139,0.93669,1,0.2509,0.000266869,0.000266869,0.000266869
50,75753.3,0.07767,0.94102,1,0.23879,0.000259063,0.000259063,0.000259063
51,77112.5,0.07222,0.94189,1,0.24448,0.00025125,0.00025125,0.00025125
52,78480.3,0.07372,0.93842,1,0.26572,0.000243437,0.000243437,0.000243437
53,79842,0.07963,0.93755,1,0.27026,0.000235631,0.000235631,0.000235631
54,81206.2,0.07651,0.94102,1,0.26395,0.000227841,0.000227841,0.000227841
